,Name,price,category,source
0,NZXT Kraken X63 RGB All In One 280mm CPU Liquid Cooler And CAM Compatible (RL-KRX63-01),12276.0,cpu cooler,mdcomputers
1,NZXT Kraken X73 All In One 360mm CPU Liquid Cooler And CAM Compatible With RGB Pump (RL-KRX73-01),14949.0,cpu cooler,mdcomputers
2,Aerocool Mirage 5 ARGB 60mm CPU Air Cooler,3350.0,cpu cooler,mdcomputers
3,Aerocool Mirage L360 ARGB All In One 360mm CPU Liquid Cooler (White),6999.0,cpu cooler,mdcomputers
4,Alseye HALO H120D RGB 120mm Dual Fan CPU Air Cooler (Black),3600.0,cpu cooler,mdcomputers
5,Alseye M120D ARGB 120mm Dual Fan CPU Air Cooler (Black),3350.0,cpu cooler,mdcomputers
6,Alseye M120W ARGB All In One 120mm CPU Liquid Cooler (White),4315.0,cpu cooler,mdcomputers
7,Alseye M240 PLUS ARGB All In One 240mm CPU Liquid Cooler With Temperature Display (Black),7000.0,cpu cooler,mdcomputers
8,Alseye M240B ARGB All In One 240mm CPU Liquid Cooler (Black),6100.0,cpu cooler,mdcomputers
9,Alseye M240W ARGB All In One 240mm CPU Liquid Cooler (White),6100.0,cpu cooler,mdcomputers
10,Alseye M360 PLUS ARGB All In One 360mm CPU Liquid Cooler With Temperature Display (Black),8300.0,cpu cooler,mdcomputers
11,Alseye M360W ARGB All In One 360mm CPU Liquid Cooler (White),7400.0,cpu cooler,mdcomputers
12,Alseye M90 ARGB 92mm CPU Air Cooler,3050.0,cpu cooler,mdcomputers
13,Alseye X120T ARGB 120mm CPU Air Cooler,3800.0,cpu cooler,mdcomputers
14,Ant Esports ICE-C200 120mm CPU Air Cooler With Rainbow LED,632.0,cpu cooler,mdcomputers
15,Ant Esports ICE-C612 RGB 120mm CPU Air Cooler,1325.0,cpu cooler,mdcomputers
16,Antec A30 92mm CPU Air Cooler,825.0,cpu cooler,mdcomputers
17,Antec A40 Pro 92mm Cpu Air Cooler,1585.0,cpu cooler,mdcomputers
18,Antec A400i RGB 120mm CPU Air Cooler,1610.0,cpu cooler,mdcomputers
19,Antec FrigusAir 400 ARGB 120mm CPU Air Cooler with ARGB Controller (Black),2975.0,cpu cooler,mdcomputers
20,Antec Kuhler H2O K240 RGB All In One 240mm Cpu Liquid Cooler,6289.0,cpu cooler,mdcomputers
21,Antec Symphony 240 ARGB All In One 240mm CPU Liquid Cooler (Black),7470.0,cpu cooler,mdcomputers
22,Antec Symphony 360 ARGB All In One 360mm CPU Liquid Cooler (White),8475.0,cpu cooler,mdcomputers
23,Asus ROG Ryujin 240 RGB All In One 240mm CPU Liquid Cooler With OLED Display,17099.0,cpu cooler,mdcomputers
24,Asus ROG RYUJIN II 360 ARGB All In One 360mm CPU Liquid Cooler with 3.5 Inch LCD Display,27000.0,cpu cooler,mdcomputers
25,Adata XPG Emix H20 RGB Virtual 7.1 Surround Sound Gaming Over Ear Headset With Mic (Black),2200.0,gaming headset,mdcomputers
26,Adata XPG Precog Analog Gaming Over Ear Headset With Mic (Black),3899.0,gaming headset,mdcomputers
27,Adata XPG Precog Red LED 7.1 Virtual Surround Sound Gaming Over Ear Headset With Mic (Black),5799.0,gaming headset,mdcomputers
28,Adata XPG Precog S Over Ear Gaming Headset With Mic (Black),2400.0,gaming headset,mdcomputers
29,Ant Esports H1000 Pro RGB Gaming Over Ear Headset With Mic,1215.0,gaming headset,mdcomputers
30,Ant Esports H1100 Pro Auto RGB 7.1 Surround Sound Over Ear Gaming Headset With Mic (Black),1299.0,gaming headset,mdcomputers
31,Ant Esports H1100 Pro Auto RGB 7.1 Surround Sound Over Ear Gaming Headset With Mic (White),1299.0,gaming headset,mdcomputers
32,Ant Esports H1150 RGB Stereo Over Ear Gaming Headset With Mic (White),1885.0,gaming headset,mdcomputers
33,Ant Esports H530 Multi-Platform Pro RGB Gaming Over Ear Headset With Mic,975.0,gaming headset,mdcomputers
34,Ant Esports H530 Multi-Platform Pro RGB Gaming Over Ear Headset With Mic (Black-Blue),975.0,gaming headset,mdcomputers
35,Ant Esports H550W RGB World Of Warships Virtual 7.1 Surround Sound Over Ear Gaming Headset With Mic (Black-Red),1155.0,gaming headset,mdcomputers
36,Ant Esports H560 Pro LED Gaming Over Ear Headset With Mic,899.0,gaming headset,mdcomputers
37,Ant Esports H580 Pro LED Gaming Over Ear Headset With Mic,849.0,gaming headset,mdcomputers
38,Ant Esports H650 RGB 7.1 Virtual Surround Gaming Over Ear Headset With Mic (Black),850.0,gaming headset,mdcomputers
39,Ant Esports H707 HD RGB 7.1 Virtual Surround Gaming Over Ear Headset With Mic,1199.0,gaming headset,mdcomputers
40,Asus ROG Delta S Animate Virtual 7.1 Surround Sound Over Ear Gaming Headset With Mic (Black),18000.0,gaming headset,mdcomputers
41,Asus ROG Strix Go Core Over Ear Gaming Headset With Mic (Black),6349.0,gaming headset,mdcomputers
42,Asus ROG Strix Go Core Over Ear Gaming Headset With Mic (Moonlight White),6449.0,gaming headset,mdcomputers
43,Asus TUF Gaming H3 Virtual 7.1 Surround Sound Gaming Over Ear Headset with Mic (Gun Metal),3130.0,gaming headset,mdcomputers
44,ASUS TUF Gaming H3 Virtual 7.1 Surround Sound Gaming Over Ear Headset With Mic (Silver),3130.0,gaming headset,mdcomputers
45,AverMedia SonicWave 7.1 Surround Sound Gaming Headset (Red),5599.0,gaming headset,mdcomputers
46,Coconut GH1 Enigma RGB Gaming Over Ear Headset With Mic (Black),1449.0,gaming headset,mdcomputers
47,Cooler Master MH630 Stereo Gaming Over Ear Headset With Mic (Black),3695.0,gaming headset,mdcomputers
48,Cooler Master MH650 RGB Virtual 7.1 Surround Sound Gaming Over Ear Headset With Mic (Black),4780.0,gaming headset,mdcomputers
49,CORSAIR HS35 Stereo Over Ear Gaming Headset With Mic (Blue),3250.0,gaming headset,mdcomputers
50,"Adata XPG ALPHA RGB Ergonomic Gaming Mouse (16000 DPI, Omron Switches, RGB Lightning, 1000Hz Polling Rate)",3124.0,mouse,mdcomputers
51,"Adata XPG Alpha RGB Ergonomic Wireless Gaming Mouse (16000 DPI, Omron Switches, RGB Lightning, 1000Hz Polling Rate)",4270.0,mouse,mdcomputers
52,Adata XPG Battleground L Exoskeleton totem edition Gaming Mouse Pad (Large),1099.0,mouse,mdcomputers
53,Adata XPG Battleground L XPG Mera Edition Gaming Mouse Pad (Large),1215.0,mouse,mdcomputers
54,Adata XPG Battleground XL Gaming Mouse Pad (Extra Large),1900.0,mouse,mdcomputers
55,Adata XPG Battleground XL Prime RGB Gaming Mouse Pad (Extra Large),2346.0,mouse,mdcomputers
56,"Adata XPG Infarex M20 RGB Ergonomic Wired Gaming Mouse (5000 DPI, Omron Switches, RGB Lightning, 1000Hz Polling Rate)",1629.0,mouse,mdcomputers
57,"Adata XPG Primer RGB Ergonomic Wired Gaming Mouse (12000 DPI, Omron Switches, RGB Lightning, 1000Hz Polling Rate)",2150.0,mouse,mdcomputers
58,"Adata XPG Slingshot RGB Ergonomic Gaming Mouse (12000 DPI, Pixart PMW 3360 Optical Sensor, RGB Lighting, 1000Hz Polling Rate)",2400.0,mouse,mdcomputers
59,"Ant Esports Champions Bundle X (RGB Headset, RGB Backlight Mouse and Mouse Pad)",1399.0,mouse,mdcomputers
60,"Ant Esports GM100 RGB Wired Gaming Mouse (4800 DPI, Optical Sensor, LED Lighting, 1000Hz Polling Rate, Black)",550.0,mouse,mdcomputers
61,"Ant Esports GM270W Ergonomic Wired Gaming Mouse (3200 DPI, Optical Sensor, Multicolor LED Lighting, 125Hz Polling Rate, Black)",425.0,mouse,mdcomputers
62,"Ant Esports GM320 RGB Wired Gaming Mouse (12800 DPI, LED Lighting, 1000Hz Polling Rate, Black)",650.0,mouse,mdcomputers
63,"Ant Esports GM40 RGB Ergonomic Wired Gaming Mouse (2400 DPI, Optical Sensor, RGB Lighting, 1000Hz Polling Rate)",249.0,mouse,mdcomputers
64,"Ant Esports GM400W RGB Ergonomic Wireless Gaming Mouse (3200 DPI, Optical Sensor, RGB Lighting, Light Pink)",640.0,mouse,mdcomputers
65,"Ant Esports GM50 Wired Gaming Mouse (3600 DPI, LED Lighting, Black)",299.0,mouse,mdcomputers
66,"Ant Esports GM60 Wired Gaming Mouse (3600 DPI, LED Lighting, Black)",340.0,mouse,mdcomputers
67,"Ant Esports GM600 RGB Wired Gaming Mouse (7200 DPI, LED Lighting, Optical Sensor, Black)",790.0,mouse,mdcomputers
68,"Ant Esports GM610 RGB Ergonomic Wired Gaming Mouse (12800 DPI, RGB Lighting, 1000Hz Polling Rate)",1275.0,mouse,mdcomputers
69,"Ant Esports GM700 Ergonomic Wireless Gaming Mouse (4800 DPI, Optical Sensor, RGB Lighting, Black)",880.0,mouse,mdcomputers
70,Ant Esports KM500W Gaming Keyboard And Mouse Combo With LED Backlight,1215.0,mouse,mdcomputers
71,Ant Esports KM540 Gaming Keyboard And Mouse Combo With LED Backlight,1199.0,mouse,mdcomputers
72,Ant Esports KM580 Gaming Keyboard And Mouse Combo With LED Backlight,1250.0,mouse,mdcomputers
73,Ant Esports MKWM2023 Gaming Keyboard And Mouse Combo,755.0,mouse,mdcomputers
74,Ant Esports MP 290 Gaming Mouse Pad (Large),325.0,mouse,mdcomputers
75,Adata AX4U300016G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBx1) DDR4 3000MHz Red,3699.0,ram,mdcomputers
76,Adata AX4U300016G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3000MHz RGB,4999.0,ram,mdcomputers
77,Adata AX4U320016G16A-SR30 Desktop Ram XPG Gammix D30 Series 16GB (16GBx1) DDR4 3200MHz Red,3950.0,ram,mdcomputers
78,Adata AX4U320016G16A-ST50 Desktop Ram XPG Spectrix D50 Series 16GB (16GBx1) DDR4 3200MHz RGB Tungsten Grey,4499.0,ram,mdcomputers
79,Adata AX4U320016G16A-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBX1) DDR4 3200MHz RGB,4315.0,ram,mdcomputers
80,Adata AX4U320032G16A-CBK20 Desktop Ram XPG Gammix D20 Series 32GB (32GBx1) DDR4 3200MHz,7779.0,ram,mdcomputers
81,Adata AX4U320088G16A-SR30/AX4U320038G16A-SR30 Desktop Ram XPG Gammix D30 Series 8GB (8GBX1) DDR4 3200MHz Red,2099.0,ram,mdcomputers
82,Adata AX4U32008G16A-DT50 Desktop Ram XPG SPECTRIX D50 Series 16GB (8GBx2) DDR4 3200MHz RGB,4740.0,ram,mdcomputers
83,Adata AX4U32008G16A-DT60 Desktop Ram XPG Spectrix D60G Series 16GB (8GBX2) DDR4 3200MHz RGB,4800.0,ram,mdcomputers
84,ADATA AX4U32008G16A-ST50 Desktop Ram XPG SPECTRIX D50 Series 8GB (8GBx1) DDR4 3200MHz RGB,2515.0,ram,mdcomputers
85,Adata AX4U360016G18I-ST60 Desktop Ram XPG Spectrix D60G Series 16GB (16GBx1) DDR4 3600MHz RGB,4700.0,ram,mdcomputers
86,Adata AX4U36008G18I-DT60 Desktop Ram XPG Spectrix D60G Series 16GB (8GBX2) DDR4 3600MHz RGB,5649.0,ram,mdcomputers
87,Adata AX5U5200C3816G-CLARBK Desktop Ram XPG LANCER RGB Series 16GB (16GBx1) DDR5 5200MHz (Black),6000.0,ram,mdcomputers
88,AMD Cardinal 4700S 8-Core Processor Open Box OEM Desktop Kit (4700S/Motherboard/16GB GDDR6 RAM),9999.0,ram,mdcomputers
89,Ant Esports AE4GD3S16M16C Laptop Ram 690 Neo VS Series 4GB (4GBx1) DDR3 1600MHz,700.0,ram,mdcomputers
90,Ant Esports AE4GD4S26M08C Laptop Ram 690 Neo FP Series 4GB (4GBx1) DDR4 2666MHz,1100.0,ram,mdcomputers
91,Ant Esports AE4GD4U26M08C Desktop Ram 690 Neo FP Series 4GB (4GBx1) DDR4 2666MHz,1100.0,ram,mdcomputers
92,Ant Esports AE8GD3S16M16C Laptop Ram 690 Neo VS Series 8GB (8GBx1) DDR3 1600MHz,1200.0,ram,mdcomputers
93,Ant Esports AE8GD3U16M16C Desktop Ram 690 Neo VS Series 8GB (8GBx1) DDR3 1600MHz,1200.0,ram,mdcomputers
94,Ant Esports AE8GD4S26M016C Laptop Ram 690 Neo FP Series 8GB (8GBx1) DDR4 2666MHz,1625.0,ram,mdcomputers
95,Ant Esports AE8GD4U26M16C Desktop Ram 690 Neo FP Series 8GB (8GBx1) DDR4 2666MHz,1625.0,ram,mdcomputers
96,"Asus ProArt Display PA247CV - 24 Inch 100% sRGB Professional Monitor (Adaptive Sync, 5ms Response Time, Frameless, FHD IPS Panel, DisplayPort, Speaker)",25549.0,ram,mdcomputers
97,"Asus ProArt Display PA278CV â€“ 27 Inch 100% sRGB Professional Monitor (Adaptive sync, 5ms Response Time, Frameless, WQHD IPS Panel, Display Port, Speaker)",36979.0,ram,mdcomputers
98,"Asus ProArt Display PA278QV - 27 Inch 100% sRGB Professional Monitor (5ms Response Time, Frameless, Flicker Free, WQHD IPS Panel, HDMI, DisplayPort, Speakers)",31500.0,ram,mdcomputers
99,"Asus ProArt Display PA328QV - 32 Inch 100% sRGB Professional Monitor (5ms Response Time, Frameless, WQHD IPS Panel, HDMI, DisplayPort, Speakers)",41015.0,ram,mdcomputers
